SOL,MG,MH
0.01,-0.04,-0.01
0.009,-0.026,0.004
-0.029,0.026,-0.02
-0.028,0.004,-0.003
-0.039,0.009,-0.002
-0.001,0.004,-0.003
0.009,0.007,-0.001
-0.01,0.021,0
-0.011,0.03,0.014
0.021,-0.001,-0.006
-0.032,-0.021,-0.011
-0.046,-0.016,0.01
-0.081,-0.031,0.019
-0.015,-0.045,0.006
0.008,-0.009,-0.007
0.031,-0.032,-0.003
0.008,0.012,0
0.018,0.048,-0.003
0.004,0.012,0.004
-0.029,-0.022,0.005
-0.03,0.015,0.006
-0.007,0.004,0.004
-0.02,-0.001,0
-0.047,0.029,0.008
-0.019,0.005,-0.008
0.025,0.006,-0.003
-0.014,0.007,-0.01
0.01,-0.014,0.011
-0.006,-0.027,0.008
-0.042,-0.036,-0.005
-0.01,0.01,0.003
0.021,-0.019,-0.011
-0.003,0.01,-0.013
0.022,0.004,0.003
0.005,-0.01,0.014
0.034,0.014,0.001
0.049,-0.004,0.026
0.02,0.013,0.007
0.025,-0.002,-0.009
0.04,0.025,-0.024
0.076,-0.007,0.006
0.065,0.007,-0.004
0.034,0.007,0.008
0.033,0.002,-0.012
0.037,-0.029,0
0.038,-0.011,0.003
0.067,-0.015,-0.002
0.023,-0.012,-0.006
0.038,-0.019,0
0.079,-0.052,0.009
0.091,-0.028,-0.006
0.064,-0.017,0.003
0.027,-0.017,-0.016
0.03,0.014,0.003
0.056,0.011,0.011
0.083,0.021,0.018
0.038,0.005,0.012
0.041,-0.011,-0.015
0.032,0.015,-0.001
0.004,0.023,-0.016
0.036,-0.002,-0.021
